timestamp,count,risk_score,risk_level,density,avg_speed
2026-05-15T21:36:45,1,0.2637,LOW,0.0527,2.3948
2026-05-15T21:37:35,1,0.2741,LOW,0.0527,8.1732
2026-05-15T21:38:37,1,0.2885,LOW,0.0527,7.5627
2026-05-15T21:39:18,0,0.2888,LOW,0.0,5.0137
2026-05-15T21:39:54,1,0.2799,LOW,0.0527,3.8865
2026-05-15T21:40:30,0,0.2802,LOW,0.0,5.2555
2026-05-15T21:41:04,0,0.2875,LOW,0.0,6.6202
2026-05-15T21:41:41,0,0.2876,LOW,0.0,5.4907
2026-05-15T21:42:17,0,0.1412,LOW,0.0,1.214
2026-05-15T21:42:54,0,0.2453,LOW,0.0,1.9888
2026-05-15T21:43:29,0,0.2936,LOW,0.0,6.1333
2026-05-15T21:44:25,3,0.2785,LOW,0.1582,4.1912
2026-05-15T21:45:08,0,0.2499,LOW,0.0,3.3135
2026-05-15T21:45:55,7,0.3387,MEDIUM,0.181,2.9503
2026-05-15T21:46:41,5,0.3223,MEDIUM,0.2137,5.2407
2026-05-15T21:47:24,2,0.2668,LOW,0.0555,5.9084
2026-05-15T21:48:06,4,0.4305,MEDIUM,0.2026,3.0213
2026-05-15T21:48:45,2,0.2827,LOW,0.0555,3.3099
2026-05-15T21:49:50,4,0.484,MEDIUM,0.2026,3.7644
2026-05-15T21:50:50,4,0.4199,MEDIUM,0.1526,4.0037
2026-05-15T21:52:21,5,0.442,MEDIUM,0.1387,3.369
2026-05-15T21:53:31,0,0.29,LOW,0.0,5.3202
2026-05-15T21:54:16,2,0.2855,LOW,0.0555,4.6227
2026-05-15T21:54:57,4,0.3511,MEDIUM,0.1526,4.2639
2026-05-15T21:55:44,3,0.2804,LOW,0.0582,3.888
2026-05-15T21:56:41,6,0.4201,MEDIUM,0.1997,2.7913
2026-05-15T21:57:21,0,0.272,LOW,0.0,2.8096
2026-05-15T21:58:01,2,0.2917,LOW,0.0555,6.0812
2026-05-15T21:59:57,9,0.5351,MEDIUM,0.2316,5.1855
2026-05-15T22:01:09,3,0.2869,LOW,0.0582,5.4236
2026-05-15T22:02:14,2,0.2899,LOW,0.3555,5.2748
2026-05-15T22:03:17,0,0.2496,LOW,0.0,4.9778
