timestamp,count,risk_score,risk_level,density,avg_speed
2026-05-16T11:37:35,1,0.2881,LOW,0.0527,6.5063
2026-05-16T11:37:43,2,0.1744,LOW,0.0555,1.3362
2026-05-16T11:37:52,4,0.2996,LOW,0.0609,6.8405
2026-05-16T11:38:00,2,0.2197,LOW,0.0555,4.3101
2026-05-16T11:38:08,5,0.2064,LOW,0.1387,2.1042
2026-05-16T11:38:15,1,0.2646,LOW,0.0527,2.4804
2026-05-16T11:38:22,1,0.2479,LOW,0.0527,3.2254
2026-05-16T11:38:28,1,0.285,LOW,0.0527,3.5288
2026-05-16T11:38:35,1,0.2795,LOW,0.0527,6.1555
2026-05-16T11:38:42,1,0.224,LOW,0.0527,1.6677
